run_number,sim_number,seed,thrust_s1_factor,thrust_s2_factor,isp_factor,prop_load_factor,drag_factor,wind_bias_mps,t_meco_s,t_seco_s,t_deploy_s,max_q_pa,final_altitude_m,final_inertial_velocity_mps
1,Ascent MC Build 47,4701,1.0,1.0,1.0,1.0,1.0,0.0,155.65,415.4,505.4,33497.1,202653.6,8166.54
2,Ascent MC Build 47,4702,1.02085,0.99623,0.98154,1.0021,0.91709,27.76,149.97,406.5,496.5,33201.8,197071.1,8051.43
3,Ascent MC Build 47,4703,1.0222,0.98514,0.99811,1.01762,1.00326,-22.44,154.66,422.28,512.28,35404.1,206862.4,8207.36
4,Ascent MC Build 47,4704,1.01062,1.0013,1.01138,1.00447,1.02189,20.89,156.46,419.91,509.91,32038.3,208701.8,8289.58
5,Ascent MC Build 47,4705,0.99981,1.00626,0.98948,1.01296,0.99889,7.54,156.04,414.78,504.78,32776.1,199384.1,8110.36
6,Ascent MC Build 47,4706,0.9843,0.98608,0.99904,1.00029,0.95997,17.16,158.02,421.18,511.18,31718.1,203748.3,8141.4
7,Ascent MC Build 47,4707,0.97085,0.97561,0.99526,1.00315,1.01994,9.49,160.06,425.74,515.74,31543.7,202611.3,8091.91
8,Ascent MC Build 47,4708,0.97573,0.99137,1.01629,1.01439,1.00873,-17.39,164.45,434.32,524.32,32530.4,211490.9,8297.73
9,Ascent MC Build 47,4709,0.99795,1.00462,1.00957,0.9955,0.99255,13.32,156.75,416.6,506.6,32424.7,205699.3,8242.15
10,Ascent MC Build 47,4710,1.00781,1.00108,0.98269,0.99231,0.97347,-36.21,150.6,403.77,493.77,37368.9,194058.1,8014.16
