Display Name,New Name
DAQ A PTP State,17.DAQ_A_PTP_STATUS.state
DAQ A PTP Grandmaster Clock ID,17.DAQ_A_PTP_STATUS.grandmaster_clock_id
DAQ A PTP Master Clock ID,17.DAQ_A_PTP_STATUS.master_clock_id
DAQ A PTP Steps From Grandmaster,17.DAQ_A_PTP_STATUS.steps_from_grandmaster
DAQ A PTP Grandmaster Clock Class,17.DAQ_A_PTP_STATUS.grandmaster_clock_class
DAQ A PTP Mean Path Delay,17.DAQ_A_PTP_STATUS.mean_path_delay
DAQ A PTP Last Measured Offset,17.DAQ_A_PTP_STATUS.last_measured_offset
DAQ A PTP Max Measured Offset,17.DAQ_A_PTP_STATUS.max_measured_offset
DAQ A PTP Min Measured Offset,17.DAQ_A_PTP_STATUS.min_measured_offset
DAQ A PTP Avg Measured Offset,17.DAQ_A_PTP_STATUS.avg_measured_offset
DAQ B PTP State,17.DAQ_B_PTP_STATUS.state
DAQ B PTP Grandmaster Clock ID,17.DAQ_B_PTP_STATUS.grandmaster_clock_id
DAQ B PTP Master Clock ID,17.DAQ_B_PTP_STATUS.master_clock_id
DAQ B PTP Steps From Grandmaster,17.DAQ_B_PTP_STATUS.steps_from_grandmaster
DAQ B PTP Grandmaster Clock Class,17.DAQ_B_PTP_STATUS.grandmaster_clock_class
DAQ B PTP Mean Path Delay,17.DAQ_B_PTP_STATUS.mean_path_delay
DAQ B PTP Last Measured Offset,17.DAQ_B_PTP_STATUS.last_measured_offset
DAQ B PTP Max Measured Offset,17.DAQ_B_PTP_STATUS.max_measured_offset
DAQ B PTP Min Measured Offset,17.DAQ_B_PTP_STATUS.min_measured_offset
DAQ B PTP Avg Measured Offset,17.DAQ_B_PTP_STATUS.avg_measured_offset
DAQ A Analog Card 1 timestamp,17.DAQ_A_AI217_0_topic.timestamp
DAQ A Analog Card 2 timestamp,17.DAQ_A_AI217_1_topic.timestamp
DAQ B Analog Card 1 timestamp,17.DAQ_B_AI217_0_topic.timestamp
DAQ B Analog Card 2 timestamp,17.DAQ_B_AI217_1_topic.timestamp
DAQ B Thermistor Card timestamp,17.DAQ_B_AI222_2_topic.timestamp
DAQ A Analog Card 1 Sequence Number,17.DAQ_A_AI217_0_topic.sequence_number
DAQ A Analog Card 2 Sequence Number,17.DAQ_A_AI217_1_topic.sequence_number
DAQ B Analog Card 1 Sequence Number,17.DAQ_B_AI217_0_topic.sequence_number
DAQ B Analog Card 2 Sequence Number,17.DAQ_B_AI217_1_topic.sequence_number
DAQ B Thermistor Card Sequence Number,17.DAQ_B_AI222_2_topic.sequence_number
FOSS Sequence Number,17.FOSS_topic.raw_peaks.sequence_number
Forward Starboard Wing Load Pin Sequence Number,17.load_pin_forward_starboard.sequence_number
Forward Port Wing Load Pin Sequence Number,17.load_pin_forward_port.sequence_number
Rear Starboard Wing Load Pin Sequence Number,17.load_pin_rear_starboard.sequence_number
Rear Port Wing Load Pin Sequence Number,17.load_pin_rear_port.sequence_number
Distribution 1 Current Amp,Distribution 1 Current Amp.0
Distribution 2 Current Amp,Distribution 2 Current Amp.0
Distribution 3 Current Amp,Distribution 3 Current Amp.0
Distribution 4 Current Amp,Distribution 4 Current Amp.0
Distribution 5 Current Amp,Distribution 5 Current Amp.0
Distribution 6 Current Amp,Distribution 6 Current Amp.0
Distribution 7 Current Amp,Distribution 7 Current Amp.0
Distribution 8 Current Amp,Distribution 8 Current Amp.0
Distribution 9 Current Amp,Distribution 9 Current Amp.0
Distribution 10 Current Amp,Distribution 10 Current Amp.0
Distribution 11 Current Amp,Distribution 11 Current Amp.0
Distribution 12 Current Amp,Distribution 12 Current Amp.0
Bus A Voltage,Bus A Voltage.0
Bus B Voltage,Bus B Voltage.0
Bus C Voltage,Bus C Voltage.0
Bus D Voltage,Bus D Voltage.0
String 1 Temp C,nan.nan
String 2 Temp C,nan.nan
String 3 Temp C,nan.nan
String 4 Temp C,nan.nan
String 5 Temp C,nan.nan
String 6 Temp C,nan.nan
String 7 Temp C,nan.nan
String 8 Temp C,nan.nan
Battery Cradle Temp C,nan.nan
Battery Cradle X Max Accel G,nan.nan
Battery Cradle Y Max Accel G,nan.nan
Battery Cradle Z Max Accel G,nan.nan
Battery Cradle X FFT,nan.nan
Battery Cradle Y FFT,nan.nan
Battery Cradle Z FFT,nan.nan
HV Cell Vent Humidity,nan.high_voltage_vent_humidity
HV Cell Vent Pressure,nan.high_voltage_vent_pressure
HV Cell Vent Temp C,nan.nan
Battery Bay Pressure,nan.battery_bay_pressure
Battery Bay Temp C,nan.nan
Battery Bay Humidity,nan.battery_bay_humidity
Motor 1 X Max Accel G,Motor 1 Max Accel X.0
Motor 1 Y Max Accel G,Motor 1 Max Accel Y.0
Motor 1 Z Max Accel G,Motor 1 Max Accel Z.0
Motor 1 X FFT,nan.nan
Motor 1 Y FFT,nan.nan
Motor 1 Z FFT,nan.nan
Motor 12 X Max Accel G,Motor 12 Max Accel X.0
Motor 12 Y Max Accel G,Motor 12 Max Accel Y.0
Motor 12 Z Max Accel G,Motor 12 Max Accel Z.0
Motor 12 X FFT,nan.nan
Motor 12 Y FFT,nan.nan
Motor 12 Z FFT,nan.nan
Motor 1 Commanded RPM,21.AGG_FS_OUTPUT.payload.command_block.paladin_controller_effector_cmd.motor_cmds.motor_1_rpm_cmd.motor_rpm
Motor 1 Actual RPM,21.AGG_CONTEXT.block_B.motor_1.motor_feedback.motor_rpm.value
Motor 1 Current Amp,21.AGG_CONTEXT.block_B.motor_1.motor_current_A
Motor 1 Bus Voltage,21.AGG_CONTEXT.block_B.motor_1.bus_voltage_V
Motor 1 Temp 1,21.AGG_CONTEXT.block_B.motor_1.motor_temp_1_degC
Motor 1 Temp 2,21.AGG_CONTEXT.block_B.motor_1.motor_temp_2_degC
Motor 1 Command Count,21.AGG_CONTEXT.block_B.motor_1.commander_metadata.command_count
Motor 1 Packet Count,21.AGG_CONTEXT.block_B.motor_1.parser_metadata.good_packet_count
Motor 1 Fault Word 0,21.AGG_CONTEXT.block_B.motor_1.fault_word_0
Motor 1 Fault Word 1,21.AGG_CONTEXT.block_B.motor_1.fault_word_1
Motor 1  Warning Word 0,21.AGG_CONTEXT.block_B.motor_1.warning_word_0
Motor 1 Warning Word 1,21.AGG_CONTEXT.block_B.motor_1.warning_word_1
Motor 1 Status Word 0,21.AGG_CONTEXT.block_B.motor_1.status_word_0
Motor 1 Controller Temp C,21.AGG_CONTEXT.block_B.motor_1.controller_temp_degC
Motor 2 Commanded RPM,21.AGG_FS_OUTPUT.payload.command_block.paladin_controller_effector_cmd.motor_cmds.motor_2_rpm_cmd.motor_rpm
Motor 2 Actual RPM,21.AGG_CONTEXT.block_C.motor_2.motor_feedback.motor_rpm.value
Motor 2 Current Amp,21.AGG_CONTEXT.block_C.motor_2.motor_current_A
Motor 2 Bus Voltage,21.AGG_CONTEXT.block_C.motor_2.bus_voltage_V
Motor 2 Temp 1,21.AGG_CONTEXT.block_C.motor_2.motor_temp_1_degC
Motor 2 Temp 2,21.AGG_CONTEXT.block_C.motor_2.motor_temp_2_degC
Motor 2 Command Count,21.AGG_CONTEXT.block_C.motor_2.commander_metadata.command_count
Motor 2 Packet Count,21.AGG_CONTEXT.block_C.motor_2.parser_metadata.good_packet_count
Motor 2 Fault Word 0,21.AGG_CONTEXT.block_C.motor_2.fault_word_0
Motor 2 Fault Word 1,21.AGG_CONTEXT.block_C.motor_2.fault_word_1
Motor 2  Warning Word 0,21.AGG_CONTEXT.block_C.motor_2.warning_word_0
Motor 2 Warning Word 1,21.AGG_CONTEXT.block_C.motor_2.warning_word_1
Motor 2 Status Word 0,21.AGG_CONTEXT.block_C.motor_2.status_word_0
Motor 2 Controller Temp C,21.AGG_CONTEXT.block_C.motor_2.controller_temp_degC
