Requestor,Team,Origin System,Origin Topic,Display Name,Measurement Path,Offboard Sample Rate,Enabled
Bishop-Gylys,TIS,TIS,DAQ_A_PTP_STATUS,DAQ A PTP State,state,1,Y
Bishop-Gylys,TIS,TIS,DAQ_A_PTP_STATUS,DAQ A PTP Grandmaster Clock ID,grandmaster_clock_id,1,Y
Bishop-Gylys,TIS,TIS,DAQ_A_PTP_STATUS,DAQ A PTP Master Clock ID,master_clock_id,1,Y
Bishop-Gylys,TIS,TIS,DAQ_A_PTP_STATUS,DAQ A PTP Steps From Grandmaster,steps_from_grandmaster,1,Y
Bishop-Gylys,TIS,TIS,DAQ_A_PTP_STATUS,DAQ A PTP Grandmaster Clock Class,grandmaster_clock_class,1,Y
Bishop-Gylys,TIS,TIS,DAQ_A_PTP_STATUS,DAQ A PTP Mean Path Delay,mean_path_delay,1,Y
Bishop-Gylys,TIS,TIS,DAQ_A_PTP_STATUS,DAQ A PTP Last Measured Offset,last_measured_offset,1,Y
Bishop-Gylys,TIS,TIS,DAQ_A_PTP_STATUS,DAQ A PTP Max Measured Offset,max_measured_offset,1,Y
Bishop-Gylys,TIS,TIS,DAQ_A_PTP_STATUS,DAQ A PTP Min Measured Offset,min_measured_offset,1,Y
Bishop-Gylys,TIS,TIS,DAQ_A_PTP_STATUS,DAQ A PTP Avg Measured Offset,avg_measured_offset,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_PTP_STATUS,DAQ B PTP State,state,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_PTP_STATUS,DAQ B PTP Grandmaster Clock ID,grandmaster_clock_id,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_PTP_STATUS,DAQ B PTP Master Clock ID,master_clock_id,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_PTP_STATUS,DAQ B PTP Steps From Grandmaster,steps_from_grandmaster,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_PTP_STATUS,DAQ B PTP Grandmaster Clock Class,grandmaster_clock_class,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_PTP_STATUS,DAQ B PTP Mean Path Delay,mean_path_delay,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_PTP_STATUS,DAQ B PTP Last Measured Offset,last_measured_offset,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_PTP_STATUS,DAQ B PTP Max Measured Offset,max_measured_offset,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_PTP_STATUS,DAQ B PTP Min Measured Offset,min_measured_offset,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_PTP_STATUS,DAQ B PTP Avg Measured Offset,avg_measured_offset,1,Y
Bishop-Gylys,TIS,TIS,DAQ_A_AI217_0_topic,DAQ A Analog Card 1 timestamp,timestamp,1,Y
Bishop-Gylys,TIS,TIS,DAQ_A_AI217_1_topic,DAQ A Analog Card 2 timestamp,timestamp,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_AI217_0_topic,DAQ B Analog Card 1 timestamp,timestamp,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_AI217_1_topic,DAQ B Analog Card 2 timestamp,timestamp,1,Y
Bishop-Gylys,TIS,TIS,DAQ_B_AI222_2_topic,DAQ B Thermistor Card timestamp,timestamp,1,Y
Nagappan,TIS,TIS,DAQ_A_AI217_0_topic,DAQ A Analog Card 1 Sequence Number,sequence_number,1,Y
Nagappan,TIS,TIS,DAQ_A_AI217_1_topic,DAQ A Analog Card 2 Sequence Number,sequence_number,1,Y
Nagappan,TIS,TIS,DAQ_B_AI217_0_topic,DAQ B Analog Card 1 Sequence Number,sequence_number,1,Y
Nagappan,TIS,TIS,DAQ_B_AI217_1_topic,DAQ B Analog Card 2 Sequence Number,sequence_number,1,Y
Nagappan,TIS,TIS,DAQ_B_AI222_2_topic,DAQ B Thermistor Card Sequence Number,sequence_number,1,Y
Nagappan,TIS,TIS,FOSS_topic,FOSS Sequence Number,raw_peaks.sequence_number,1,Y
Nagappan,TIS,TIS,load_pin_forward_starboard,Forward Starboard Wing Load Pin Sequence Number,sequence_number,1,Y
Nagappan,TIS,TIS,load_pin_forward_port,Forward Port Wing Load Pin Sequence Number,sequence_number,1,Y
Nagappan,TIS,TIS,load_pin_rear_starboard,Rear Starboard Wing Load Pin Sequence Number,sequence_number,1,Y
Nagappan,TIS,TIS,load_pin_rear_port,Rear Port Wing Load Pin Sequence Number,sequence_number,1,Y
LeBrun,Propulsion,XFORM,Distribution 1 Current Amp,Distribution 1 Current Amp,0,2,Y
LeBrun,Propulsion,XFORM,Distribution 2 Current Amp,Distribution 2 Current Amp,0,2,Y
LeBrun,Propulsion,XFORM,Distribution 3 Current Amp,Distribution 3 Current Amp,0,2,Y
LeBrun,Propulsion,XFORM,Distribution 4 Current Amp,Distribution 4 Current Amp,0,2,Y
LeBrun,Propulsion,XFORM,Distribution 5 Current Amp,Distribution 5 Current Amp,0,2,Y
LeBrun,Propulsion,XFORM,Distribution 6 Current Amp,Distribution 6 Current Amp,0,2,Y
LeBrun,Propulsion,XFORM,Distribution 7 Current Amp,Distribution 7 Current Amp,0,2,Y
LeBrun,Propulsion,XFORM,Distribution 8 Current Amp,Distribution 8 Current Amp,0,2,Y
LeBrun,Propulsion,XFORM,Distribution 9 Current Amp,Distribution 9 Current Amp,0,2,Y
LeBrun,Propulsion,XFORM,Distribution 10 Current Amp,Distribution 10 Current Amp,0,2,Y
LeBrun,Propulsion,XFORM,Distribution 11 Current Amp,Distribution 11 Current Amp,0,2,Y
LeBrun,Propulsion,XFORM,Distribution 12 Current Amp,Distribution 12 Current Amp,0,2,Y
Colbert,Propulsion,XFORM,Bus A Voltage,Bus A Voltage,0,2,Y
Colbert,Propulsion,XFORM,Bus B Voltage,Bus B Voltage,0,2,Y
Colbert,Propulsion,XFORM,Bus C Voltage,Bus C Voltage,0,2,Y
